UnitID,UnitCode,UnitDescription
1,BAG,BAGS
2,BAL,BALE
3,BDL,BUNDLES
4,BKL,BUCKLES
5,BOU,BILLION OF UNITS
6,BOX,BOX
7,BTL,BOTTLES
8,BUN,BUNCHES
9,CAN,CANS
10,CCM,CUBIC CENTIMETERS
11,CMS,CENTIMETERS
12,CBM,CUBIC METERS
13,CTN,CARTONS
14,DOZ,DOZENS
15,DRM,DRUMS
16,GGK,GREAT GROSS
17,GMS,GRAMMES
18,GRS,GROSS
19,GYD,GROSS YARDS
20,KGS,KILOGRAMS
21,KLR,KILOLITRE
22,KME,KILOMETRE
23,LTR,LITRES
24,MLS,MILLI LITRES
25,MLT,MILILITRE
26,MTR,METERS
27,MTS,METRIC TON
28,NOS,NUMBERS
29,OTH,OTHERS
30,PAC,PACKS
31,PCS,PIECES
32,PRS,PAIRS
33,QTL,QUINTAL
34,ROL,ROLLS
35,SET,SETS
36,SQF,SQUARE FEET
37,SQM,SQUARE METERS
38,SQY,SQUARE YARDS
39,TBS,TABLETS
40,TGM,TEN GROSS
41,THD,THOUSANDS
42,TON,TONNES
43,TUB,TUBES
44,UGS,US GALLONS
45,UNT,UNITS
46,YDS,YARDS
